wellName,datasetName,DEPTH,DT,Electro_Facies,GR,NPHI,PHIE,RHOB,VCL
,,M,us/ft,unitless,gAPI,V/V,V/V,g/cm3,V/V
SVNE-3XP_raw,SVNE-3XP,2341.95,89.6849,-9999,90.0833,0.299,0.0001,2.3709,1
SVNE-3XP_raw,SVNE-3XP,2342.1,93.6486,-9999,89.6994,0.3341,0.0001,2.3789,1
SVNE-3XP_raw,SVNE-3XP,2342.25,98.4475,-9999,90.9071,0.3621,0.0001,2.371,1
SVNE-3XP_raw,SVNE-3XP,2342.4,103.0998,-9999,93.159,0.3684,0.0001,2.3567,1
SVNE-3XP_raw,SVNE-3XP,2342.55,106.8622,-9999,95.2263,0.382,0.0001,2.3497,1
SVNE-3XP_raw,SVNE-3XP,2342.7,109.3756,-9999,95.0677,0.3928,0.0001,2.3499,1
SVNE-3XP_raw,SVNE-3XP,2342.85,109.8495,-9999,92.4988,0.363,0.0001,2.348,1
SVNE-3XP_raw,SVNE-3XP,2343,107.7364,-9999,87.7245,0.3169,0.0001,2.342,1
SVNE-3XP_raw,SVNE-3XP,2343.15,106.0257,-9999,83.9064,0.2981,0.0036,2.3376,0.8679
SVNE-3XP_raw,SVNE-3XP,2343.3,99.7668,6,72.1368,0.2663,0.1281,2.3204,0.4966
SVNE-3XP_raw,SVNE-3XP,2343.45,93.2848,7,57.1579,0.2345,0.1861,2.2881,0.2256
SVNE-3XP_raw,SVNE-3XP,2343.6,88.5493,-9999,46.5809,0.2075,0.2107,2.2623,0.1147
SVNE-3XP_raw,SVNE-3XP,2343.75,85.5267,-9999,45.7647,0.1972,0.2038,2.2745,0.108
SVNE-3XP_raw,SVNE-3XP,2343.9,84.8351,6,54.023,0.2147,0.1699,2.3329,0.1874
SVNE-3XP_raw,SVNE-3XP,2344.05,85.2492,5,66.042,0.2601,0.1166,2.4067,0.3655
SVNE-3XP_raw,SVNE-3XP,2344.2,86.0552,-9999,75.4331,0.307,0.0685,2.4516,0.5828
SVNE-3XP_raw,SVNE-3XP,2344.35,86.3502,-9999,78.2751,0.3088,0.0422,2.4624,0.6673
SVNE-3XP_raw,SVNE-3XP,2344.5,86.6594,-9999,73.1776,0.2651,0.0607,2.4636,0.5225
SVNE-3XP_raw,SVNE-3XP,2344.65,86.0647,8,62.3506,0.2114,0.0922,2.4688,0.301
SVNE-3XP_raw,SVNE-3XP,2344.8,85.1176,-9999,50.8222,0.1756,0.1135,2.4721,0.1533
SVNE-3XP_raw,SVNE-3XP,2344.95,83.4758,-9999,43.5899,0.1601,0.1255,2.4633,0.0913
SVNE-3XP_raw,SVNE-3XP,2345.1,82.942,-9999,41.7625,0.1592,0.1344,2.4452,0.0784
SVNE-3XP_raw,SVNE-3XP,2345.25,84.4686,-9999,43.9046,0.1734,0.1412,2.4312,0.0936
SVNE-3XP_raw,SVNE-3XP,2345.4,87.3485,-9999,48.8794,0.2067,0.1479,2.4276,0.1348
SVNE-3XP_raw,SVNE-3XP,2345.55,90.9167,5,56.0483,0.2566,0.155,2.4308,0.2115
SVNE-3XP_raw,SVNE-3XP,2345.7,94.6035,-9999,63.7106,0.3095,0.1515,2.4349,0.3236
SVNE-3XP_raw,SVNE-3XP,2345.85,96.4336,-9999,69.7618,0.3326,0.1287,2.4359,0.4415
